0|Andrea|491|807|52|15|1016|1278|batching
1|Alan|352|951|636|649|861|588|Lapp's
2|Aston|781|172|414|1329|1708|374|chaffinches
3|Anabella|1205|463|565|1992|1918|1422|Alioth
4|Alexander|1323|574|1991|1331|1363|609|advisability
5|Addie|29|1707|502|1217|1033|1184|bison's
6|Anselm|572|1893|528|1286|1969|777|betters
7|Augusta|1354|185|981|1522|1067|1127|Faust's
8|Alys|1423|178|518|1414|1698|1452|bangle's
9|Alison|1131|1286|348|1734|1971|58|autumn
10|Addie|1062|616|1768|284|786|1982|confederation
11|Alyse|539|539|224|1392|1379|253|agribusinesses
12|Aaren|758|1205|1911|726|1097|506|Lenin's
13|Arvel|910|1755|786|1052|81|958|chuck
14|Aric|151|1903|155|436|567|2001|batting's
15|Addison|1651|988|1396|1637|58|1400|Dover
16|Alphonzo|1011|1040|103|1833|1220|1096|Siddhartha's
17|Andy|226|85|919|15|1826|602|core's
18|Amelia|1651|866|1820|298|1224|1097|Tia's
19|Ainsley|178|577|337|173|110|909|bawl's
20|Amber|1973|1075|1331|1042|80|1255|blandness's
21|Amos|85|235|354|1899|836|385|Dodson's
22|Amery|1782|300|489|463|675|675|Meyer
23|Andrea|281|1697|172|590|1340|866|Tagus's
24|Angelina|1812|1810|1078|1705|521|978|bookmark
25|Astor|203|1256|889|1165|440|703|apathy
26|Anise|856|10|1902|1452|281|1913|aphids
27|Adella|1546|1740|303|1323|1363|747|boozier
28|Alexis|918|231|1519|408|1272|443|Nivea's
29|Angus|1018|1488|594|1523|529|1373|bugger
30|Ashlea|1763|1220|1535|888|830|1107|Vaseline's
31|Aliah|1765|1756|1814|1646|1104|1559|Nanking
32|Aaron|337|1556|882|1544|269|467|Concord's
33|Alphonzo|1427|1414|1232|1768|796|1688|Nembutal's
34|Amos|1532|1598|1851|771|308|231|bob's
35|Aileen|1496|1525|203|1052|1939|904|commercially
36|Adrianne|429|246|2003|102|1163|655|biophysicist's
37|Angelia|876|622|1380|244|1241|1596|Flossie's
38|Acacia|1122|1807|699|1873|900|1619|Regina's
39|Art|677|1515|1914|610|967|6|Mohican
40|Ashlea|347|1349|337|646|669|798|Creon
41|Abbie|1709|1361|1459|1218|272|926|Doritos's
42|Alea|1060|1334|1933|914|506|1687|Correggio
43|Alexis|91|1709|318|1844|1965|1163|Palestine
44|Andrea|1078|456|1761|1740|447|1128|Urey
45|Amie|639|160|1789|829|374|622|Plexiglas
46|Addyson|1178|1157|1910|1705|852|1307|BLT's
47|Ambrosine|1114|1310|136|1110|1135|365|Worcester
48|Alvina|1671|1280|1742|1125|1975|1803|Halloween's
49|Alene|409|791|1395|177|1800|1767|bucolic's
50|Ami|164|18|725|556|506|151|charade
51|Ali|244|1678|330|436|900|66|Korans
52|Amy|815|1808|492|1477|637|1277|Agni's
53|Allie|1849|872|1510|1517|1686|663|bullpen
54|Amery|632|1367|1175|121|1350|652|Sec
55|Arienne|641|1221|989|899|1814|1361|coachmen
56|Alpha|308|1383|854|1137|546|130|Alexis
57|Alycia|1959|267|1909|396|1991|1144|beaver
58|Alexandrea|1592|738|1226|1674|102|1544|abridges
59|Arlo|794|103|163|276|1816|1070|Hogwarts
60|Andie|667|328|195|665|1791|386|bench's
61|Aleah|149|120|117|1032|1897|1708|Hamitic
62|Aaren|1119|482|1197|309|266|1279|comprehensive's
63|Archie|1802|1351|1636|278|735|1052|Sisyphus
64|Allen|1057|21|1308|1305|711|600|antiknock
65|Alexandrina|133|1962|1827|1062|1815|485|bleakly
66|Angela|1907|987|1253|1160|1494|514|Hereford's
67|Aidan|613|1322|1167|1177|778|1997|Miguel
68|Araminta|1436|1869|892|1117|1778|964|cottonmouth
69|Ami|1646|797|1752|926|66|1796|Kringle's
70|Ally|1577|844|767|1195|865|1441|Hartman's
71|Allannah|1966|1687|271|845|656|554|condone
72|Alethea|1348|306|1255|1957|416|1301|Tyree's
73|Aleah|39|490|569|1475|699|1727|assailant
74|Angelina|737|1168|998|1993|1317|1157|Selkirk's
75|Aggie|979|962|300|1315|1992|139|buggier
76|Arabella|80|824|344|447|1437|557|Jacksonian
77|Algernon|521|216|1437|724|1256|1850|Zionist
78|Alishia|890|1413|1844|884|420|1618|Ayyubid
79|Abel|280|1452|1402|646|83|1971|Studebaker's
80|Anabella|177|1147|1218|986|1039|709|breakthrough's
81|August|989|646|246|708|980|1855|beekeeper's
82|Adelia|211|1324|34|1528|507|345|Capetown
83|Aric|472|1848|1919|1814|131|1467|Lizzie
84|Anabelle|1345|609|1666|1959|474|1075|Dario's
85|Audley|19|1034|1327|345|1128|355|Strong
86|Alaina|904|1187|500|212|1005|1061|Loyola
87|Annabeth|2002|1792|111|570|1516|685|Yoknapatawpha's
88|Anastacia|751|1529|1361|277|445|1374|Liverpool's
89|Arline|1808|843|325|379|232|972|Galatia
90|Anthony|86|1796|645|1799|104|460|Carthage
91|Amias|868|1112|1296|619|1607|564|castration
92|Alayna|411|937|1014|182|1842|887|carpal
93|Aline|170|871|786|1833|1948|1181|Nicobar
94|Alisya|276|1670|398|907|1407|875|blubbers
95|Addie|1901|1310|1258|1086|542|1849|contributed
96|Allegria|730|208|1991|737|282|909|Kishinev's
97|Aldous|1028|205|1953|657|1586|1692|beautification's
98|Alfred|1123|824|1495|1805|1773|1424|Moorish
99|Ansley|776|1234|1499|838|1677|1278|computerization's
100|Anthony|722|6|160|377|627|1979|Lacey's
101|Alfred|1985|487|32|1966|1450|424|Aden
102|Ambrose|1651|1487|93|1579|1318|1745|comelier
103|Arlo|389|1300|336|242|1600|1594|Feb's
104|Allycia|680|1412|331|1900|1954|1761|Aquitaine's
105|Aliah|1824|1645|1891|1301|536|1252|charisma's
106|Alison|419|1593|877|237|979|1827|Styron's
107|Allana|1560|1265|928|814|1993|1458|Virgos
108|Annabeth|702|825|116|1764|827|655|brightness
109|Aubree|1954|1502|1238|2001|1593|1030|amorousness's
110|Aura|1054|1334|305|1985|1702|1994|Essen's
111|Alea|1202|1809|1661|1029|270|118|coffin
112|Adella|27|1681|1867|703|1517|44|comprehensiveness
113|Archie|910|1131|1319|462|1487|1720|correlation
114|Arleen|428|402|161|1206|517|1894|Valentin
115|Arlene|1784|702|311|73|1574|979|Confucianism
116|Alden|176|1479|643|1738|1717|1849|Jetway
117|Austin|1283|185|1580|544|1758|1832|Mercurochrome's
118|Adam|391|1863|1434|1280|1311|309|coo's
119|Aidan|72|1440|1469|1424|174|309|Connecticut's
120|Autumn|1074|350|1486|686|642|164|Albanians
121|Ashlyn|1964|744|1925|1846|1651|50|carpenter's
122|Art|775|1944|254|232|790|90|buttress's
123|Alice|928|862|587|853|597|1294|Rozelle's
124|Alfred|438|314|1357|1948|1993|1916|Naismith's
125|Abe|1878|1265|1419|562|616|776|compulsorily
126|Amery|826|1662|672|1246|967|83|Caesar
127|Austyn|1521|1511|596|1781|1842|42|alligators
128|Arnie|242|468|932|1698|425|517|airports
129|Andrea|487|1940|99|592|636|1995|constitutions
130|Adamina|1860|1560|1809|403|216|150|columbines
131|Archer|814|1273|1600|1062|188|1476|antiperspirant
132|Arline|1289|809|323|252|1338|527|Islam's
133|Aston|1021|47|1775|601|1417|1291|apologist's
134|Amanda|544|837|54|280|1024|237|collaborations
135|Alger|253|1953|1283|1667|57|989|analogy's
136|Amie|1557|1953|1371|1299|501|493|chef's
137|Amery|1286|456|1184|1611|1739|1896|cesarean's
138|Alyssa|1378|1111|112|1315|1812|325|advocates
139|Alberta|584|1941|744|716|1736|124|Zenger's
140|Alberta|995|1021|1735|57|619|1914|biologist's
141|Aaren|510|1268|706|59|1467|1951|chuckhole
142|Archibald|184|1175|313|1846|534|515|calumniated
143|Aletha|1472|51|1679|198|217|917|Kremlinologist
144|Anabella|95|737|1171|1883|1377|172|abrogated
145|Alissa|1109|973|460|622|207|1539|Laos
146|Andrew|1959|115|67|1410|1247|1562|celebrating
147|Art|182|1749|256|1578|1784|1858|NoDoz
148|Aura|1957|1835|1703|355|957|1140|assimilating
149|Aston|1467|21|687|508|1903|1876|Cora's
150|Audrey|686|458|298|1062|1755|1378|JFK
151|Abner|178|1316|486|1160|1699|1500|Kilimanjaro
152|Aspen|105|27|987|1233|1791|321|Lilliput
153|Anastacia|512|1792|1793|1626|1346|83|Crest
154|Arienne|992|529|1071|1332|138|1148|Pepin
155|Aryana|884|1223|896|1504|1465|1336|acreages
156|Andi|1221|568|1361|563|1663|1498|Shanghai's
157|Abby|785|1793|138|490|1085|517|Shenyang
158|Anemone|1778|188|1529|1475|1825|1866|barn's
159|Amity|149|1078|146|1189|1165|501|bulge
160|Andra|705|1434|1201|1318|1121|709|beached
161|Alison|1851|1529|672|1245|1625|1838|Kazantzakis
162|Addyson|1521|1895|475|808|1612|1539|aunt's
163|Amyas|1453|839|256|1678|28|1204|Nevadans
